hipot,plan_pensiones,fondo_inversion,acciones,renta_fija,prest_pers,tarj_cred,cta_ahorro/depos_pzo,seg_vida,seg_med,cripto,ID,year,age_bracket,edu_level,labor_categ
0,0,0,0,0,0,0,0,0,0,0,2016_71,2016,45-54,Primary,Otros inactivos
0,0,0,0,0,0,0,0,0,0,0,2016_72,2016,55-64,Primary,Asalariado
0,0,0,0,0,0,0,0,0,0,0,2016_73,2016,65-79,Primary,Jubilado
0,0,0,0,0,0,0,0,0,0,0,2016_74,2016,65-79,Primary,Otros inactivos
0,0,0,0,0,0,0,0,0,0,0,2016_75,2016,18-34,University,Asalariado
0,0,0,0,0,0,0,0,0,0,0,2016_76,2016,55-64,Primary,Jubilado
0,0,0,0,0,0,0,0,0,0,0,2016_77,2016,65-79,Primary,Jubilado
0,0,0,0,0,0,0,0,0,0,0,2016_78,2016,18-34,University,Otros inactivos
0,0,0,0,0,0,0,0,1,1,0,2016_79,2016,18-34,University,Asalariado
0,0,0,0,0,0,1,0,0,0,0,2016_80,2016,35-44,Primary,Asalariado
0,0,0,0,0,1,0,0,0,0,0,2016_81,2016,35-44,Primary,Asalariado
0,0,0,0,0,1,0,0,0,0,0,2016_82,2016,45-54,Secondary,Otros inactivos
0,0,0,0,0,0,0,0,0,0,0,2016_83,2016,45-54,Primary,Otros inactivos
0,0,0,0,0,1,0,0,0,0,0,2016_84,2016,55-64,University,Jubilado
0,0,0,0,0,0,0,0,0,0,0,2016_85,2016,18-34,Primary,Otros inactivos
0,0,0,0,0,1,1,0,0,0,0,2016_86,2016,18-34,Primary,Autónomo
0,0,0,0,0,0,0,0,0,0,0,2016_87,2016,55-64,Primary,Jubilado
0,0,0,0,0,0,0,0,0,0,0,2016_88,2016,18-34,Primary,Otros inactivos
0,0,0,0,0,0,0,0,0,0,0,2016_89,2016,45-54,Primary,Otros inactivos
0,0,0,0,0,0,0,0,0,0,0,2016_90,2016,55-64,Primary,Desempleado
0,0,0,0,0,0,0,0,0,0,0,2016_91,2016,65-79,Primary,Jubilado
0,0,0,0,0,0,0,0,0,0,0,2016_92,2016,18-34,Secondary,Desempleado
0,0,0,0,0,0,0,0,0,0,0,2016_93,2016,18-34,University,Otros inactivos
0,0,0,0,0,1,1,0,0,0,0,2016_94,2016,35-44,Primary,Asalariado
0,0,0,0,0,1,0,0,0,0,0,2016_95,2016,35-44,University,Asalariado
0,0,0,0,0,0,0,0,0,0,0,2016_96,2016,45-54,University,Desempleado
0,0,0,0,0,0,0,0,0,1,0,2016_97,2016,45-54,Primary,Asalariado
0,0,0,0,0,0,0,0,0,0,0,2016_98,2016,45-54,Primary,Asalariado
0,0,0,0,0,0,0,0,0,0,0,2016_99,2016,55-64,Primary,Asalariado
0,0,0,0,0,0,0,0,0,0,0,2016_100,2016,65-79,Primary,Jubilado
0,0,0,0,0,0,0,0,0,0,0,2016_101,2016,35-44,University,Asalariado
0,0,0,0,0,0,0,1,0,0,0,2016_102,2016,35-44,University,Asalariado
0,0,0,0,0,1,1,0,0,0,0,2016_103,2016,35-44,University,Asalariado
0,0,0,0,0,0,0,0,0,0,0,2016_104,2016,45-54,Primary,Asalariado
0,0,0,0,0,0,0,0,0,0,0,2016_105,2016,18-34,Secondary,Otros inactivos
0,0,0,0,0,0,0,0,0,0,0,2016_106,2016,35-44,Secondary,Asalariado
0,0,0,0,0,0,0,0,0,0,0,2016_107,2016,45-54,University,Asalariado
0,0,0,0,0,0,0,0,0,0,0,2016_108,2016,55-64,University,Asalariado
0,0,0,0,0,0,0,0,0,0,0,2016_109,2016,55-64,Primary,Desempleado
0,0,0,0,0,0,0,0,0,0,0,2016_110,2016,18-34,University,Desempleado
0,0,0,0,0,0,0,0,0,0,0,2016_111,2016,65-79,Primary,Otros inactivos
0,0,0,0,0,0,0,0,0,0,0,2016_112,2016,35-44,Primary,Asalariado
0,0,0,0,0,0,0,0,0,0,0,2016_113,2016,55-64,Primary,Otros inactivos
0,0,0,0,0,1,1,0,1,1,0,2016_114,2016,18-34,University,Asalariado
0,0,0,0,0,0,0,0,0,0,0,2016_115,2016,18-34,Secondary,Asalariado
0,0,0,0,0,0,1,0,0,0,0,2016_116,2016,18-34,Secondary,Otros inactivos
0,0,0,0,0,0,0,0,0,0,0,2016_117,2016,35-44,Primary,Asalariado
0,0,0,0,0,0,0,0,0,1,0,2016_118,2016,55-64,Primary,Otros inactivos
0,0,0,0,0,0,0,0,0,0,0,2016_119,2016,18-34,Primary,Desempleado
0,0,0,0,0,0,1,0,0,1,0,2016_120,2016,35-44,Primary,Autónomo
0,0,0,0,0,1,0,0,0,0,0,2016_121,2016,45-54,University,Asalariado
0,0,0,0,0,0,0,0,0,0,0,2016_122,2016,55-64,Primary,Jubilado
0,0,0,0,0,0,0,0,0,0,0,2016_123,2016,45-54,Primary,Otros inactivos
0,0,0,0,0,1,0,0,0,0,0,2016_124,2016,18-34,University,Asalariado
0,0,0,0,0,0,0,0,0,0,0,2016_125,2016,55-64,Secondary,Otros inactivos
0,0,0,0,0,0,1,0,0,0,0,2016_126,2016,18-34,Primary,Desempleado
0,0,0,0,0,0,0,0,0,0,0,2016_127,2016,35-44,Primary,Desempleado
1,0,0,0,0,0,0,0,0,0,0,2016_128,2016,45-54,Secondary,Autónomo
0,0,0,0,0,0,0,0,0,0,0,2016_129,2016,45-54,University,Otros inactivos
0,0,0,0,0,0,0,0,0,0,0,2016_130,2016,65-79,Primary,Jubilado
0,0,0,0,0,0,0,0,0,0,0,2016_131,2016,65-79,Primary,Jubilado
0,0,0,0,0,0,0,0,1,0,0,2016_132,2016,18-34,Secondary,Otros inactivos
0,0,0,0,0,0,0,0,0,0,0,2016_133,2016,18-34,Primary,Autónomo
0,0,0,0,0,0,0,1,0,0,0,2016_134,2016,35-44,University,Asalariado
0,0,0,0,0,0,0,0,0,0,0,2016_135,2016,55-64,Primary,Autónomo
0,0,0,0,0,0,0,0,0,0,0,2016_136,2016,65-79,Primary,Otros inactivos
0,0,0,0,0,1,1,0,0,0,0,2016_137,2016,18-34,University,Asalariado
0,0,0,0,0,0,0,1,1,0,0,2016_138,2016,35-44,Primary,Otros inactivos
0,1,0,0,0,1,0,0,1,0,0,2016_139,2016,45-54,University,Asalariado
0,0,0,0,0,0,0,0,0,0,0,2016_140,2016,65-79,Primary,Jubilado
0,0,0,0,0,0,1,0,0,0,0,2016_141,2016,18-34,Secondary,Otros inactivos
0,0,0,0,0,0,0,0,0,0,0,2016_142,2016,35-44,Primary,Desempleado
0,0,0,0,0,0,1,0,0,1,0,2016_143,2016,35-44,University,Asalariado
0,0,0,0,0,0,0,0,0,0,0,2016_144,2016,45-54,Primary,Otros inactivos
0,0,0,0,0,0,1,0,0,0,0,2016_145,2016,45-54,Secondary,Asalariado
0,0,0,0,0,0,0,0,0,0,0,2016_146,2016,65-79,Primary,Jubilado
0,0,0,0,0,1,1,0,1,0,0,2016_147,2016,45-54,University,Asalariado
0,0,0,0,0,0,0,0,1,0,0,2016_148,2016,45-54,Secondary,Asalariado
0,1,0,0,0,1,0,0,0,0,0,2016_149,2016,55-64,University,Jubilado
0,0,0,0,0,1,0,0,0,0,0,2016_150,2016,55-64,University,Desempleado
0,0,0,0,0,0,0,0,0,0,0,2016_151,2016,65-79,Primary,Otros inactivos
0,0,0,0,0,0,0,0,0,0,0,2016_152,2016,18-34,Secondary,Otros inactivos
0,0,0,0,0,1,1,1,0,0,0,2016_153,2016,18-34,Secondary,Otros inactivos
0,0,0,0,0,0,0,0,0,0,0,2016_154,2016,45-54,Secondary,Asalariado
0,0,0,0,0,0,1,0,0,0,0,2016_155,2016,45-54,Primary,Jubilado
0,0,0,1,0,1,1,0,0,0,0,2016_156,2016,18-34,Secondary,Otros inactivos
